ticker,reason,date_added
001620,liquidity,2025-05-13
195990,liquidity,2025-05-13
102280,liquidity,2025-05-13
060380,liquidity,2025-05-13
002880,liquidity,2025-05-13
065060,liquidity,2025-05-13
126600,liquidity,2025-05-13
091970,liquidity,2025-05-13
290270,liquidity,2025-05-13
278650,liquidity,2025-05-13
061250,liquidity,2025-05-13
004890,liquidity,2025-05-13
023910,liquidity,2025-05-13
950110,liquidity,2025-05-13
208340,liquidity,2025-05-13
031510,liquidity,2025-05-13
041590,liquidity,2025-05-13
049800,liquidity,2025-05-13
105330,liquidity,2025-05-13
382800,liquidity,2025-05-13
049080,liquidity,2025-05-13
036480,liquidity,2025-05-13
000440,liquidity,2025-05-13
033560,liquidity,2025-05-13
038060,liquidity,2025-05-13
417840,liquidity,2025-05-13
045520,liquidity,2025-05-13
330350,liquidity,2025-05-13
008110,liquidity,2025-05-13
451760,liquidity,2025-05-13
036180,liquidity,2025-05-13
011300,liquidity,2025-05-13
083790,liquidity,2025-05-13
012860,liquidity,2025-05-13
115570,liquidity,2025-05-13
227610,liquidity,2025-05-13
073560,liquidity,2025-05-13
039340,liquidity,2025-05-13
058650,liquidity,2025-05-13
007120,liquidity,2025-05-13
412350,liquidity,2025-05-13
111710,liquidity,2025-05-13
033540,liquidity,2025-05-13
050760,liquidity,2025-05-13
121800,liquidity,2025-05-13
023450,liquidity,2025-05-13
064480,liquidity,2025-05-13
005360,liquidity,2025-05-13
418420,liquidity,2025-05-13
413630,liquidity,2025-05-13
009140,liquidity,2025-05-13
187790,liquidity,2025-05-13
189690,liquidity,2025-05-13
019590,liquidity,2025-05-13
017550,liquidity,2025-05-13
462520,liquidity,2025-05-13
032300,liquidity,2025-05-13
039830,liquidity,2025-05-13
331920,liquidity,2025-05-13
033170,liquidity,2025-05-13
009810,liquidity,2025-05-13
079190,liquidity,2025-05-13
052790,liquidity,2025-05-13
015590,liquidity,2025-05-13
092440,liquidity,2025-05-13
043150,liquidity,2025-05-13
018310,liquidity,2025-05-13
016250,liquidity,2025-05-13
378850,liquidity,2025-05-13
