섹터코드,섹터명,종목코드,종목명
En,에너지,A000440,중앙에너비스
En,에너지,A002960,한국쉘석유
En,에너지,A003650,미창석유
En,에너지,A006120,SK디스커버리
En,에너지,A010950,S-Oil
En,에너지,A012320,경동인베스트
En,에너지,A017940,E1
En,에너지,A018670,SK가스
En,에너지,A024060,흥구석유
En,에너지,A053620,태양
En,에너지,A060900,DGP
En,에너지,A065420,에스아이리소스
En,에너지,A096770,SK이노베이션
En,에너지,A098070,한텍
En,에너지,A101970,우양에이치씨
En,에너지,A136150,원일티엔아이
En,에너지,A137950,제이씨케미칼
En,에너지,A267250,HD현대
En,에너지,A457550,우진엔텍
En,에너지,A475150,SK이터닉스
Ma,소재,A000180,성창기업지주
Ma,소재,A000210,DL
Ma,소재,A000320,노루홀딩스
Ma,소재,A000390,삼화페인트
Ma,소재,A000670,영풍
Ma,소재,A000760,이화산업
Ma,소재,A000860,강남제비스코
Ma,소재,A000910,유니온
Ma,소재,A001020,페이퍼코리아
Ma,소재,A001080,만호제강
Ma,소재,A001230,동국홀딩스
Ma,소재,A001340,PKC
Ma,소재,A001390,KG케미칼
Ma,소재,A001430,세아베스틸지주
Ma,소재,A001520,동양
Ma,소재,A001550,조비
Ma,소재,A001570,금양
Ma,소재,A001770,SHD
Ma,소재,A001810,무림SP
Ma,소재,A001940,KISCO홀딩스
Ma,소재,A002030,아세아
Ma,소재,A002100,경농
Ma,소재,A002200,한국수출포장
Ma,소재,A002220,한일철강
Ma,소재,A002240,고려제강
Ma,소재,A002310,아세아제지
Ma,소재,A002360,SH에너지화학
Ma,소재,A002380,KCC
Ma,소재,A002690,동일제강
Ma,소재,A002710,TCC스틸
Ma,소재,A002760,보락
Ma,소재,A002820,SUN&L
Ma,소재,A002840,미원상사
Ma,소재,A002870,신풍
Ma,소재,A003030,세아제강지주
Ma,소재,A003080,SB성보
Ma,소재,A003240,태광산업
Ma,소재,A003300,한일홀딩스
Ma,소재,A003580,HLB글로벌
Ma,소재,A003670,포스코퓨처엠
Ma,소재,A003720,삼영
Ma,소재,A003780,진양산업
Ma,소재,A004000,롯데정밀화학
Ma,소재,A004020,현대제철
Ma,소재,A004090,한국석유
Ma,소재,A004150,한솔홀딩스
Ma,소재,A004250,NPC
Ma,소재,A004430,송원산업
Ma,소재,A004440,삼일씨엔에스
Ma,소재,A004450,삼화왕관
Ma,소재,A004560,현대비앤지스틸
Ma,소재,A004650,창해에탄올
Ma,소재,A004780,대륙제관
Ma,소재,A004830,덕성
Ma,소재,A004870,티웨이홀딩스
Ma,소재,A004890,동일산업
Ma,소재,A004910,조광페인트
Ma,소재,A004980,성신양회
Ma,소재,A005010,휴스틸
Ma,소재,A005160,동국산업
Ma,소재,A005290,동진쎄미켐
Ma,소재,A005420,코스모화학
Ma,소재,A005490,POSCO홀딩스
Ma,소재,A005810,풍산홀딩스
Ma,소재,A005820,원림
Ma,소재,A005950,이수화학
Ma,소재,A006110,삼아알미늄
Ma,소재,A006380,카프로
Ma,소재,A006390,한일현대시멘트
Ma,소재,A006650,대한유화
Ma,소재,A006740,영풍제지
Ma,소재,A006890,태경케미컬
Ma,소재,A006920,모헨즈
Ma,소재,A007110,일신석재
Ma,소재,A007280,한국특강
Ma,소재,A007590,동방아그로
Ma,소재,A007690,국도화학
Ma,소재,A007770,한일화학
Ma,소재,A008250,이건산업
Ma,소재,A008260,NI스틸
Ma,소재,A008350,남선알미늄
Ma,소재,A008420,문배철강
Ma,소재,A008730,율촌화학
Ma,소재,A008870,금비
Ma,소재,A008970,동양철관
Ma,소재,A009190,대양금속
Ma,소재,A009200,무림페이퍼
Ma,소재,A009460,한창제지
Ma,소재,A009520,포스코엠텍
Ma,소재,A009580,무림P&P
Ma,소재,A009620,삼보산업
Ma,소재,A009730,이렘
Ma,소재,A009770,삼정펄프
Ma,소재,A009780,엠에스씨
Ma,소재,A009810,플레이그램
Ma,소재,A009830,한화솔루션
Ma,소재,A010060,OCI홀딩스
Ma,소재,A010130,고려아연
Ma,소재,A010640,진양폴리
Ma,소재,A011170,롯데케미칼
Ma,소재,A011280,태림포장
Ma,소재,A011390,부산산업
Ma,소재,A011500,한농화성
Ma,소재,A011780,금호석유화학
Ma,소재,A011790,SKC
Ma,소재,A012160,영흥
Ma,소재,A012610,경인양행
Ma,소재,A012620,원일특강
Ma,소재,A012630,HDC
Ma,소재,A012800,대창
Ma,소재,A013000,세우글로벌
Ma,소재,A014160,대영포장
Ma,소재,A014280,금강공업
Ma,소재,A014440,영보화학
Ma,소재,A014530,극동유화
Ma,소재,A014580,태경비케이
Ma,소재,A014680,한솔케미칼
Ma,소재,A014820,동원시스템즈
Ma,소재,A014830,유니드
Ma,소재,A014910,성문전자
Ma,소재,A014970,삼륭물산
Ma,소재,A015890,태경산업
Ma,소재,A016380,KG스틸
Ma,소재,A016590,신대양제지
Ma,소재,A017480,삼현철강
Ma,소재,A017650,대림제지
Ma,소재,A017860,DS단석
Ma,소재,A017890,한국알콜
Ma,소재,A017960,한국카본
Ma,소재,A018290,브이티
Ma,소재,A018470,조일알미늄
Ma,소재,A019440,세아특수강
Ma,소재,A021040,대호특수강
Ma,소재,A021050,서원
Ma,소재,A023000,삼원강재
Ma,소재,A023410,유진기업
Ma,소재,A023440,제이스코홀딩스
Ma,소재,A023450,동남합성
Ma,소재,A023600,삼보판지
Ma,소재,A023790,동일스틸럭스
Ma,소재,A024070,WISCOM
Ma,소재,A024090,디씨엠
Ma,소재,A024890,대원화성
Ma,소재,A025000,KPX케미칼
Ma,소재,A025550,한국선재
Ma,소재,A025750,한솔홈데코
Ma,소재,A025820,이구산업
Ma,소재,A025860,남해화학
Ma,소재,A025890,한국주강
Ma,소재,A025900,동화기업
Ma,소재,A026910,광진실업
Ma,소재,A026940,부국철강
Ma,소재,A027580,상보
Ma,소재,A027970,한국제지
Ma,소재,A032560,황금에스티
Ma,소재,A032860,더라미
Ma,소재,A032980,바이온
Ma,소재,A033310,엠투엔
Ma,소재,A033500,동성화인텍
Ma,소재,A036640,HRS
Ma,소재,A036670,삼양케이씨아이
Ma,소재,A036830,솔브레인홀딩스
Ma,소재,A037230,한국팩키지
Ma,소재,A037370,EG
Ma,소재,A037760,쎄니트
Ma,소재,A038010,제일테크노스
Ma,소재,A038500,삼표시멘트
Ma,소재,A039240,경남스틸
Ma,소재,A042040,케이피엠테크
Ma,소재,A045060,오공
Ma,소재,A048470,대동스틸
Ma,소재,A048830,엔피케이
Ma,소재,A049550,잉크테크
Ma,소재,A049830,승일
Ma,소재,A050760,에스폴리텍
Ma,소재,A051910,LG화학
Ma,소재,A053260,금강철강
Ma,소재,A055490,테이팩스
Ma,소재,A056700,신화인터텍
Ma,소재,A058430,포스코스틸리온
Ma,소재,A058450,한주에이알티
Ma,소재,A058650,세아홀딩스
Ma,소재,A058730,다스코
Ma,소재,A060230,소니드
Ma,소재,A060380,동양에스텍
Ma,소재,A060480,국일신동
Ma,소재,A060560,홈센타홀딩스
Ma,소재,A069260,TKG휴켐스
Ma,소재,A069460,대호에이엘
Ma,소재,A071090,하이스틸
Ma,소재,A074430,아미노로직스
Ma,소재,A075970,동국알앤에스
Ma,소재,A078130,국일제지
Ma,소재,A078140,대봉엘에스
Ma,소재,A078940,퀀타피아
Ma,소재,A079170,한창산업
Ma,소재,A079650,서산
Ma,소재,A081000,일진다이아
Ma,소재,A081150,티플랙스
Ma,소재,A083420,그린케미칼
Ma,소재,A084010,대한제강
Ma,소재,A086520,에코프로
Ma,소재,A086710,선진뷰티사이언스
Ma,소재,A090350,노루페인트
Ma,소재,A090410,덕신이피씨
Ma,소재,A091340,S&K폴리텍
Ma,소재,A091970,나노캠텍
Ma,소재,A092070,디엔에프
Ma,소재,A092230,KPX홀딩스
Ma,소재,A092790,넥스틸
Ma,소재,A093370,후성
Ma,소재,A095500,미래나노텍
Ma,소재,A097870,효성오앤비
Ma,소재,A100250,진양홀딩스
Ma,소재,A101240,씨큐브
Ma,소재,A102260,동성케미컬
Ma,소재,A102710,이엔에프테크놀로지
Ma,소재,A103140,풍산
Ma,소재,A104700,한국철강
Ma,소재,A104830,원익머트리얼즈
Ma,소재,A105330,케이엔더블유
Ma,소재,A107590,미원홀딩스
Ma,소재,A107600,새빗켐
Ma,소재,A109070,주성코퍼레이션
Ma,소재,A109860,동일금속
Ma,소재,A110020,전진바이오팜
Ma,소재,A112290,와이씨켐
Ma,소재,A114630,폴라리스우노
Ma,소재,A115570,스타플렉스
Ma,소재,A120030,조선선재
Ma,소재,A120110,코오롱인더
Ma,소재,A120240,대정화금
Ma,소재,A121600,나노신소재
Ma,소재,A121850,코이즈
Ma,소재,A126560,현대퓨처넷
Ma,소재,A126600,BGF에코머티리얼즈
Ma,소재,A128660,피제이메탈
Ma,소재,A131100,티엔엔터테인먼트
Ma,소재,A133820,화인베스틸
Ma,소재,A134380,미원화학
Ma,소재,A136410,아셈스
Ma,소재,A138070,신진에스엠
Ma,소재,A138360,협진
Ma,소재,A138490,코오롱ENP
Ma,소재,A139990,아주스틸
Ma,소재,A140520,대창스틸
Ma,소재,A155660,DSR
Ma,소재,A159910,에코글로우
Ma,소재,A161000,애경케미칼
Ma,소재,A163280,에어레인
Ma,소재,A170920,엘티씨
Ma,소재,A178920,PI첨단소재
Ma,소재,A183190,아세아시멘트
Ma,소재,A186230,그린플러스
Ma,소재,A187420,HLB제넥스
Ma,소재,A187790,나노
Ma,소재,A192390,윈하이텍
Ma,소재,A196700,웹스
Ma,소재,A198440,강동씨앤엘
Ma,소재,A213500,한솔제지
Ma,소재,A220260,켐트로스
Ma,소재,A221980,케이디켐
Ma,소재,A222420,쎄노텍
Ma,소재,A225530,보광산업
Ma,소재,A228340,동양파일
Ma,소재,A238090,앤디포스
Ma,소재,A247660,나노씨엠에스
Ma,소재,A250930,예선테크
Ma,소재,A251370,와이엠티
Ma,소재,A251970,펌텍코리아
Ma,소재,A255220,SG
Ma,소재,A260970,에스앤디
Ma,소재,A263770,유에스티
Ma,소재,A265740,엔에프씨
Ma,소재,A268280,미원에스씨
Ma,소재,A272550,삼양패키징
Ma,소재,A278280,천보
Ma,소재,A281740,레이크머티리얼즈
Ma,소재,A285130,SK케미칼
Ma,소재,A285800,진영
Ma,소재,A286750,나노실리칸첨단소재
Ma,소재,A290380,대유
Ma,소재,A294140,레몬
Ma,소재,A295310,에이치브이엠
Ma,소재,A298000,효성화학
Ma,소재,A298020,효성티앤씨
Ma,소재,A298050,HS효성첨단소재
Ma,소재,A300720,한일시멘트
Ma,소재,A306200,세아제강
Ma,소재,A317870,엔바이오니아
Ma,소재,A318000,KBG
Ma,소재,A318410,비비씨
Ma,소재,A332290,누보
Ma,소재,A340440,세림B&G
Ma,소재,A348370,엔켐
Ma,소재,A352940,인바이오
Ma,소재,A357550,석경에이티
Ma,소재,A357780,솔브레인
Ma,소재,A361610,SK아이이테크놀로지
Ma,소재,A417010,나노팀
Ma,소재,A446070,유니드비티플러스
Ma,소재,A456040,OCI
Ma,소재,A457190,이수스페셜티케미컬
Ma,소재,A460850,동국씨엠
Ma,소재,A460860,동국제강
Ma,소재,A460870,에스엠씨지
Ma,소재,A462520,조선내화
In,산업,A000120,CJ대한통운
In,산업,A000150,두산
In,산업,A000480,CR홀딩스
In,산업,A000490,대동
In,산업,A000500,가온전선
In,산업,A000590,CS홀딩스
In,산업,A000650,천일고속
In,산업,A000700,유수홀딩스
In,산업,A000720,현대건설
In,산업,A000850,화천기공
In,산업,A000880,한화
In,산업,A000970,한국주철관
In,산업,A001040,CJ
In,산업,A001120,LX인터내셔널
In,산업,A001140,국보
In,산업,A001210,금호전기
In,산업,A001250,GS글로벌
In,산업,A001260,남광토건
In,산업,A001440,대한전선
In,산업,A001470,삼부토건
In,산업,A001560,제일연마
In,산업,A001740,SK네트웍스
In,산업,A001780,알루코
In,산업,A001840,이화공영
In,산업,A002020,코오롱
In,산업,A002150,도화엔지니어링
In,산업,A002290,삼일기업공사
In,산업,A002320,한진
In,산업,A002410,범양건영
In,산업,A002460,HS화성
In,산업,A002780,진흥기업
In,산업,A002810,삼영무역
In,산업,A002900,TYM
In,산업,A002990,금호건설
In,산업,A003010,혜인
In,산업,A003070,코오롱글로벌
In,산업,A003100,선광
In,산업,A003280,흥아해운
In,산업,A003490,대한항공
In,산업,A003550,LG
In,산업,A003570,SNT다이내믹스
In,산업,A004140,동방
In,산업,A004360,세방
In,산업,A004380,삼익THK
In,산업,A004800,효성
In,산업,A004960,한신공영
In,산업,A004990,롯데지주
In,산업,A005360,모나미
In,산업,A005430,한국공항  
In,산업,A005440,현대지에프홀딩스
In,산업,A005750,대림바스
In,산업,A005880,대한해운
