종목코드,섹터코드,섹터명
000440,En,에너지
002960,En,에너지
003650,En,에너지
006120,En,에너지
010950,En,에너지
012320,En,에너지
017940,En,에너지
018670,En,에너지
024060,En,에너지
053620,En,에너지
060900,En,에너지
065420,En,에너지
096770,En,에너지
098070,En,에너지
101970,En,에너지
136150,En,에너지
137950,En,에너지
267250,En,에너지
457550,En,에너지
475150,En,에너지
000180,Ma,소재
000210,Ma,소재
000320,Ma,소재
000390,Ma,소재
000670,Ma,소재
000760,Ma,소재
000860,Ma,소재
000910,Ma,소재
001020,Ma,소재
001080,Ma,소재
001230,Ma,소재
001340,Ma,소재
001390,Ma,소재
001430,Ma,소재
001520,Ma,소재
001550,Ma,소재
001570,Ma,소재
001770,Ma,소재
001810,Ma,소재
001940,Ma,소재
002030,Ma,소재
002100,Ma,소재
002200,Ma,소재
002220,Ma,소재
002240,Ma,소재
002310,Ma,소재
002360,Ma,소재
002380,Ma,소재
002690,Ma,소재
002710,Ma,소재
002760,Ma,소재
002820,Ma,소재
002840,Ma,소재
002870,Ma,소재
003030,Ma,소재
003080,Ma,소재
003240,Ma,소재
003300,Ma,소재
003580,Ma,소재
003670,Ma,소재
003720,Ma,소재
003780,Ma,소재
004000,Ma,소재
004020,Ma,소재
004090,Ma,소재
004150,Ma,소재
004250,Ma,소재
004430,Ma,소재
004440,Ma,소재
004450,Ma,소재
004560,Ma,소재
004650,Ma,소재
004780,Ma,소재
004830,Ma,소재
004870,Ma,소재
004890,Ma,소재
004910,Ma,소재
004980,Ma,소재
005010,Ma,소재
005160,Ma,소재
005290,Ma,소재
005420,Ma,소재
005490,Ma,소재
005810,Ma,소재
005820,Ma,소재
005950,Ma,소재
006110,Ma,소재
006380,Ma,소재
006390,Ma,소재
006650,Ma,소재
006740,Ma,소재
006890,Ma,소재
006920,Ma,소재
007110,Ma,소재
007280,Ma,소재
007590,Ma,소재
007690,Ma,소재
007770,Ma,소재
008250,Ma,소재
008260,Ma,소재
008350,Ma,소재
008420,Ma,소재
008730,Ma,소재
008870,Ma,소재
008970,Ma,소재
009190,Ma,소재
009200,Ma,소재
009460,Ma,소재
009520,Ma,소재
009580,Ma,소재
009620,Ma,소재
009730,Ma,소재
009770,Ma,소재
009780,Ma,소재
009810,Ma,소재
009830,Ma,소재
010060,Ma,소재
010130,Ma,소재
010640,Ma,소재
011170,Ma,소재
011280,Ma,소재
011390,Ma,소재
011500,Ma,소재
011780,Ma,소재
011790,Ma,소재
012160,Ma,소재
012610,Ma,소재
012620,Ma,소재
012630,Ma,소재
012800,Ma,소재
013000,Ma,소재
014160,Ma,소재
014280,Ma,소재
014440,Ma,소재
014530,Ma,소재
014580,Ma,소재
014680,Ma,소재
014820,Ma,소재
014830,Ma,소재
014910,Ma,소재
014970,Ma,소재
015890,Ma,소재
016380,Ma,소재
016590,Ma,소재
017480,Ma,소재
017650,Ma,소재
017860,Ma,소재
017890,Ma,소재
017960,Ma,소재
018290,Ma,소재
018470,Ma,소재
019440,Ma,소재
021040,Ma,소재
021050,Ma,소재
023000,Ma,소재
023410,Ma,소재
023440,Ma,소재
023450,Ma,소재
023600,Ma,소재
023790,Ma,소재
024070,Ma,소재
024090,Ma,소재
024890,Ma,소재
025000,Ma,소재
025550,Ma,소재
025750,Ma,소재
025820,Ma,소재
025860,Ma,소재
025890,Ma,소재
025900,Ma,소재
026910,Ma,소재
026940,Ma,소재
027580,Ma,소재
027970,Ma,소재
032560,Ma,소재
032860,Ma,소재
032980,Ma,소재
033310,Ma,소재
033500,Ma,소재
036640,Ma,소재
036670,Ma,소재
036830,Ma,소재
037230,Ma,소재
037370,Ma,소재
037760,Ma,소재
038010,Ma,소재
038500,Ma,소재
039240,Ma,소재
042040,Ma,소재
045060,Ma,소재
048470,Ma,소재
048830,Ma,소재
049550,Ma,소재
049830,Ma,소재
050760,Ma,소재
051910,Ma,소재
053260,Ma,소재
055490,Ma,소재
056700,Ma,소재
058430,Ma,소재
058450,Ma,소재
058650,Ma,소재
058730,Ma,소재
060230,Ma,소재
060380,Ma,소재
060480,Ma,소재
060560,Ma,소재
069260,Ma,소재
069460,Ma,소재
071090,Ma,소재
074430,Ma,소재
075970,Ma,소재
078130,Ma,소재
078140,Ma,소재
079170,Ma,소재
079650,Ma,소재
081000,Ma,소재
081150,Ma,소재
083420,Ma,소재
084010,Ma,소재
086520,Ma,소재
086710,Ma,소재
090350,Ma,소재
090410,Ma,소재
091340,Ma,소재
091970,Ma,소재
092070,Ma,소재
092230,Ma,소재
092790,Ma,소재
093370,Ma,소재
095500,Ma,소재
097870,Ma,소재
100250,Ma,소재
101240,Ma,소재
102260,Ma,소재
102710,Ma,소재
103140,Ma,소재
